Date,KWh,Microgen KWh / KWp,Calculated,Days in the month,Hours in the month,W,Calculated from KWp
28/02/2019,44,11%,11%,28,168, 261.90 , 106.76 
31/03/2019,102,26%,26%,31,744, 137.10 , 56.98 
30/04/2019,188,47%,47%,30,720, 261.11 , 106.44 
31/05/2019,297,75%,75%,31,744, 399.19 , 164.37 
30/06/2019,360,90%,91%,30,720, 500.00 , 203.82 
31/07/2019,354,89%,89%,31,744, 475.81 , 195.05 
31/08/2019,314,79%,79%,31,744, 422.04 , 173.13 
30/09/2019,210,53%,53%,30,720, 291.67 , 120.03 
31/10/2019,114,29%,29%,31,744, 153.23 , 63.56 
30/11/2019,48,12%,12%,30,720, 66.67 , 27.18 
31/12/2019,41,10%,10%,31,744, 55.11 , 21.92 
31/01/2020,44,11%,11%,31,744, 59.14 , 24.11 
29/02/2020,85,21%,21%,29,696, 122.13 , 49.20 
31/03/2020,199,50%,50%,31,744, 267.47 , 109.58 
30/04/2020,328,83%,83%,30,720, 455.56 , 187.96 
31/05/2020,439,110%,110%,31,744, 590.05 , 241.07 
30/06/2020,351,88%,88%,30,720, 487.50 , 199.29 
31/07/2020,339,85%,85%,31,744, 455.65 , 186.28 
31/08/2020,284,71%,71%,31,744, 381.72 , 155.60 
30/09/2020,217,55%,55%,30,720, 301.39 , 124.55 
31/10/2020,99,25%,25%,31,744, 133.06 , 54.79 
