time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
01/01/2019 00:00,01/01/2019 00:00,0,0,0,8.08
01/01/2019 01:00,01/01/2019 01:00,0,0,0,7.993
01/01/2019 02:00,01/01/2019 02:00,0,0,0,7.969
01/01/2019 03:00,01/01/2019 03:00,0,0,0,8.016
01/01/2019 04:00,01/01/2019 04:00,0,0,0,8.042
01/01/2019 05:00,01/01/2019 05:00,0,0,0,8.174
01/01/2019 06:00,01/01/2019 06:00,0,0,0,8.358
01/01/2019 07:00,01/01/2019 07:00,0,0,0,8.484
01/01/2019 08:00,01/01/2019 08:00,0.012,0.012,0.012,8.521
01/01/2019 09:00,01/01/2019 09:00,0.055,0.026,0.048,8.616
01/01/2019 10:00,01/01/2019 10:00,0.204,0.144,0.088,8.788
01/01/2019 11:00,01/01/2019 11:00,0.355,0.321,0.076,8.919
01/01/2019 12:00,01/01/2019 12:00,0.309,0.278,0.068,8.809
01/01/2019 13:00,01/01/2019 13:00,0.189,0.153,0.064,8.641
01/01/2019 14:00,01/01/2019 14:00,0.061,0.032,0.048,8.39
01/01/2019 15:00,01/01/2019 15:00,0.002,0,0.009,7.906
01/01/2019 16:00,01/01/2019 16:00,0,0,0,7.504
01/01/2019 17:00,01/01/2019 17:00,0,0,0,7.376
01/01/2019 18:00,01/01/2019 18:00,0,0,0,7.299
01/01/2019 19:00,01/01/2019 19:00,0,0,0,7.138
01/01/2019 20:00,01/01/2019 20:00,0,0,0,7.016
01/01/2019 21:00,01/01/2019 21:00,0,0,0,6.891
01/01/2019 22:00,01/01/2019 22:00,0,0,0,6.819
01/01/2019 23:00,01/01/2019 23:00,0,0,0,6.791
02/01/2019 00:00,02/01/2019 00:00,0,0,0,6.832
02/01/2019 01:00,02/01/2019 01:00,0,0,0,6.894
02/01/2019 02:00,02/01/2019 02:00,0,0,0,6.891
02/01/2019 03:00,02/01/2019 03:00,0,0,0,6.834
02/01/2019 04:00,02/01/2019 04:00,0,0,0,6.781
02/01/2019 05:00,02/01/2019 05:00,0,0,0,6.787
02/01/2019 06:00,02/01/2019 06:00,0,0,0,6.818
02/01/2019 07:00,02/01/2019 07:00,0,0,0,6.833
02/01/2019 08:00,02/01/2019 08:00,0.017,0.016,0.015,6.901
02/01/2019 09:00,02/01/2019 09:00,0.081,0.043,0.058,7.163
02/01/2019 10:00,02/01/2019 10:00,0.13,0.062,0.091,7.378
02/01/2019 11:00,02/01/2019 11:00,0.15,0.067,0.107,7.481
02/01/2019 12:00,02/01/2019 12:00,0.135,0.053,0.106,7.486
02/01/2019 13:00,02/01/2019 13:00,0.091,0.027,0.085,7.393
02/01/2019 14:00,02/01/2019 14:00,0.039,0.007,0.05,7.175
02/01/2019 15:00,02/01/2019 15:00,0.001,0,0.008,6.661
02/01/2019 16:00,02/01/2019 16:00,0,0,0,6.469
02/01/2019 17:00,02/01/2019 17:00,0,0,0,6.381
02/01/2019 18:00,02/01/2019 18:00,0,0,0,6.273
02/01/2019 19:00,02/01/2019 19:00,0,0,0,6.099
02/01/2019 20:00,02/01/2019 20:00,0,0,0,5.983
02/01/2019 21:00,02/01/2019 21:00,0,0,0,5.859
02/01/2019 22:00,02/01/2019 22:00,0,0,0,5.832
02/01/2019 23:00,02/01/2019 23:00,0,0,0,5.78
03/01/2019 00:00,03/01/2019 00:00,0,0,0,5.712
03/01/2019 01:00,03/01/2019 01:00,0,0,0,5.678
03/01/2019 02:00,03/01/2019 02:00,0,0,0,5.707
03/01/2019 03:00,03/01/2019 03:00,0,0,0,5.692
03/01/2019 04:00,03/01/2019 04:00,0,0,0,5.614
03/01/2019 05:00,03/01/2019 05:00,0,0,0,5.489
03/01/2019 06:00,03/01/2019 06:00,0,0,0,5.352
03/01/2019 07:00,03/01/2019 07:00,0,0,0,5.159
03/01/2019 08:00,03/01/2019 08:00,0.02,0.018,0.015,5.148
03/01/2019 09:00,03/01/2019 09:00,0.08,0.041,0.059,5.667
03/01/2019 10:00,03/01/2019 10:00,0.131,0.061,0.092,6.071
03/01/2019 11:00,03/01/2019 11:00,0.153,0.067,0.109,6.207
03/01/2019 12:00,03/01/2019 12:00,0.133,0.049,0.106,6.258
03/01/2019 13:00,03/01/2019 13:00,0.085,0.021,0.083,6.199
03/01/2019 14:00,03/01/2019 14:00,0.035,0.004,0.047,5.996
03/01/2019 15:00,03/01/2019 15:00,0.001,0,0.007,5.605
03/01/2019 16:00,03/01/2019 16:00,0,0,0,5.256
03/01/2019 17:00,03/01/2019 17:00,0,0,0,5.014
03/01/2019 18:00,03/01/2019 18:00,0,0,0,4.648
03/01/2019 19:00,03/01/2019 19:00,0,0,0,4.476
03/01/2019 20:00,03/01/2019 20:00,0,0,0,4.252
03/01/2019 21:00,03/01/2019 21:00,0,0,0,3.949
03/01/2019 22:00,03/01/2019 22:00,0,0,0,3.72
03/01/2019 23:00,03/01/2019 23:00,0,0,0,3.517
04/01/2019 00:00,04/01/2019 00:00,0,0,0,3.368
04/01/2019 01:00,04/01/2019 01:00,0,0,0,3.303
04/01/2019 02:00,04/01/2019 02:00,0,0,0,3.163
04/01/2019 03:00,04/01/2019 03:00,0,0,0,2.93
04/01/2019 04:00,04/01/2019 04:00,0,0,0,2.739
04/01/2019 05:00,04/01/2019 05:00,0,0,0,2.552
04/01/2019 06:00,04/01/2019 06:00,0,0,0,2.46
04/01/2019 07:00,04/01/2019 07:00,0,0,0,2.459
04/01/2019 08:00,04/01/2019 08:00,0.019,0.017,0.016,2.638
04/01/2019 09:00,04/01/2019 09:00,0.067,0.03,0.055,3.049
04/01/2019 10:00,04/01/2019 10:00,0.175,0.098,0.098,3.496
04/01/2019 11:00,04/01/2019 11:00,0.291,0.213,0.107,3.98
04/01/2019 12:00,04/01/2019 12:00,0.15,0.06,0.112,4.352
04/01/2019 13:00,04/01/2019 13:00,0.044,0.004,0.056,4.518
04/01/2019 14:00,04/01/2019 14:00,0.008,0,0.019,4.515
04/01/2019 15:00,04/01/2019 15:00,0,0,0.005,4.486
04/01/2019 16:00,04/01/2019 16:00,0,0,0,4.43
04/01/2019 17:00,04/01/2019 17:00,0,0,0,4.571
04/01/2019 18:00,04/01/2019 18:00,0,0,0,4.777
04/01/2019 19:00,04/01/2019 19:00,0,0,0,5.09
04/01/2019 20:00,04/01/2019 20:00,0,0,0,5.362
04/01/2019 21:00,04/01/2019 21:00,0,0,0,5.495
04/01/2019 22:00,04/01/2019 22:00,0,0,0,5.572
04/01/2019 23:00,04/01/2019 23:00,0,0,0,5.582
05/01/2019 00:00,05/01/2019 00:00,0,0,0,5.748
05/01/2019 01:00,05/01/2019 01:00,0,0,0,5.702
05/01/2019 02:00,05/01/2019 02:00,0,0,0,5.58
05/01/2019 03:00,05/01/2019 03:00,0,0,0,5.388
05/01/2019 04:00,05/01/2019 04:00,0,0,0,5.083
05/01/2019 05:00,05/01/2019 05:00,0,0,0,4.945
05/01/2019 06:00,05/01/2019 06:00,0,0,0,4.82
05/01/2019 07:00,05/01/2019 07:00,0,0,0,4.636
05/01/2019 08:00,05/01/2019 08:00,0.021,0.018,0.017,4.445
05/01/2019 09:00,05/01/2019 09:00,0.051,0.018,0.05,4.545
05/01/2019 10:00,05/01/2019 10:00,0.089,0.027,0.082,4.694
05/01/2019 11:00,05/01/2019 11:00,0.175,0.08,0.118,4.921
05/01/2019 12:00,05/01/2019 12:00,0.101,0.025,0.097,5.082
05/01/2019 13:00,05/01/2019 13:00,0.103,0.03,0.093,5.21
05/01/2019 14:00,05/01/2019 14:00,0.034,0.004,0.046,5.21
05/01/2019 15:00,05/01/2019 15:00,0.001,0,0.007,5.091
05/01/2019 16:00,05/01/2019 16:00,0,0,0,4.955
05/01/2019 17:00,05/01/2019 17:00,0,0,0,4.905
05/01/2019 18:00,05/01/2019 18:00,0,0,0,4.934
05/01/2019 19:00,05/01/2019 19:00,0,0,0,5.03
05/01/2019 20:00,05/01/2019 20:00,0,0,0,5.213
05/01/2019 21:00,05/01/2019 21:00,0,0,0,5.342
05/01/2019 22:00,05/01/2019 22:00,0,0,0,5.428
05/01/2019 23:00,05/01/2019 23:00,0,0,0,5.493
06/01/2019 00:00,06/01/2019 00:00,0,0,0,5.56
06/01/2019 01:00,06/01/2019 01:00,0,0,0,5.584
06/01/2019 02:00,06/01/2019 02:00,0,0,0,5.607
06/01/2019 03:00,06/01/2019 03:00,0,0,0,5.601
06/01/2019 04:00,06/01/2019 04:00,0,0,0,5.545
06/01/2019 05:00,06/01/2019 05:00,0,0,0,5.403
06/01/2019 06:00,06/01/2019 06:00,0,0,0,5.273
06/01/2019 07:00,06/01/2019 07:00,0,0,0,5.342
06/01/2019 08:00,06/01/2019 08:00,0.011,0.009,0.013,5.473
06/01/2019 09:00,06/01/2019 09:00,0.045,0.016,0.047,5.715
06/01/2019 10:00,06/01/2019 10:00,0.119,0.049,0.092,6.013
06/01/2019 11:00,06/01/2019 11:00,0.152,0.065,0.11,6.322
06/01/2019 12:00,06/01/2019 12:00,0.167,0.08,0.111,6.612
06/01/2019 13:00,06/01/2019 13:00,0.142,0.074,0.091,6.85
06/01/2019 14:00,06/01/2019 14:00,0.06,0.021,0.059,6.903
06/01/2019 15:00,06/01/2019 15:00,0.003,0,0.011,6.639
06/01/2019 16:00,06/01/2019 16:00,0,0,0,6.54
06/01/2019 17:00,06/01/2019 17:00,0,0,0,6.536
06/01/2019 18:00,06/01/2019 18:00,0,0,0,6.526
06/01/2019 19:00,06/01/2019 19:00,0,0,0,6.497
06/01/2019 20:00,06/01/2019 20:00,0,0,0,6.452
06/01/2019 21:00,06/01/2019 21:00,0,0,0,6.387
06/01/2019 22:00,06/01/2019 22:00,0,0,0,6.564
06/01/2019 23:00,06/01/2019 23:00,0,0,0,6.744
07/01/2019 00:00,07/01/2019 00:00,0,0,0,6.887
07/01/2019 01:00,07/01/2019 01:00,0,0,0,6.934
07/01/2019 02:00,07/01/2019 02:00,0,0,0,6.971
07/01/2019 03:00,07/01/2019 03:00,0,0,0,6.989
07/01/2019 04:00,07/01/2019 04:00,0,0,0,6.978
07/01/2019 05:00,07/01/2019 05:00,0,0,0,6.969
07/01/2019 06:00,07/01/2019 06:00,0,0,0,6.995
07/01/2019 07:00,07/01/2019 07:00,0,0,0,7.019
07/01/2019 08:00,07/01/2019 08:00,0.002,0.002,0.008,6.818
07/01/2019 09:00,07/01/2019 09:00,0.03,0.007,0.039,6.847
07/01/2019 10:00,07/01/2019 10:00,0.093,0.026,0.088,6.954
07/01/2019 11:00,07/01/2019 11:00,0.106,0.025,0.103,7.314
07/01/2019 12:00,07/01/2019 12:00,0.071,0.009,0.082,7.77
07/01/2019 13:00,07/01/2019 13:00,0.046,0.004,0.06,8.189
07/01/2019 14:00,07/01/2019 14:00,0.015,0.001,0.027,8.366
07/01/2019 15:00,07/01/2019 15:00,0.001,0,0.008,8.368
07/01/2019 16:00,07/01/2019 16:00,0,0,0,8.39
07/01/2019 17:00,07/01/2019 17:00,0,0,0,8.577
07/01/2019 18:00,07/01/2019 18:00,0,0,0,8.776
07/01/2019 19:00,07/01/2019 19:00,0,0,0,8.943
07/01/2019 20:00,07/01/2019 20:00,0,0,0,9.056
07/01/2019 21:00,07/01/2019 21:00,0,0,0,8.496
07/01/2019 22:00,07/01/2019 22:00,0,0,0,7.684
07/01/2019 23:00,07/01/2019 23:00,0,0,0,7.169
08/01/2019 00:00,08/01/2019 00:00,0,0,0,6.945
08/01/2019 01:00,08/01/2019 01:00,0,0,0,6.845
08/01/2019 02:00,08/01/2019 02:00,0,0,0,6.757
08/01/2019 03:00,08/01/2019 03:00,0,0,0,6.638
08/01/2019 04:00,08/01/2019 04:00,0,0,0,6.608
08/01/2019 05:00,08/01/2019 05:00,0,0,0,6.729
08/01/2019 06:00,08/01/2019 06:00,0,0,0,6.905
08/01/2019 07:00,08/01/2019 07:00,0,0,0,7.011
08/01/2019 08:00,08/01/2019 08:00,0.014,0.012,0.015,7.124
08/01/2019 09:00,08/01/2019 09:00,0.067,0.031,0.056,7.294
08/01/2019 10:00,08/01/2019 10:00,0.193,0.12,0.099,7.545
08/01/2019 11:00,08/01/2019 11:00,0.252,0.174,0.108,7.779
08/01/2019 12:00,08/01/2019 12:00,0.205,0.127,0.106,7.886
08/01/2019 13:00,08/01/2019 13:00,0.166,0.106,0.086,7.841
08/01/2019 14:00,08/01/2019 14:00,0.063,0.024,0.058,7.639
08/01/2019 15:00,08/01/2019 15:00,0.003,0,0.012,7.263
08/01/2019 16:00,08/01/2019 16:00,0,0,0,6.905
08/01/2019 17:00,08/01/2019 17:00,0,0,0,6.725
08/01/2019 18:00,08/01/2019 18:00,0,0,0,6.517
08/01/2019 19:00,08/01/2019 19:00,0,0,0,6.431
08/01/2019 20:00,08/01/2019 20:00,0,0,0,6.369
08/01/2019 21:00,08/01/2019 21:00,0,0,0,6.369
08/01/2019 22:00,08/01/2019 22:00,0,0,0,6.564
08/01/2019 23:00,08/01/2019 23:00,0,0,0,6.695
09/01/2019 00:00,09/01/2019 00:00,0,0,0,6.692
09/01/2019 01:00,09/01/2019 01:00,0,0,0,6.606
09/01/2019 02:00,09/01/2019 02:00,0,0,0,6.444
09/01/2019 03:00,09/01/2019 03:00,0,0,0,6.313
09/01/2019 04:00,09/01/2019 04:00,0,0,0,6.237
09/01/2019 05:00,09/01/2019 05:00,0,0,0,6.183
09/01/2019 06:00,09/01/2019 06:00,0,0,0,6.152
09/01/2019 07:00,09/01/2019 07:00,0,0,0,6.199
09/01/2019 08:00,09/01/2019 08:00,0.015,0.012,0.015,6.259
