time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
01/01/2019 00:00,01/01/2019 00:00,0,0,0,11.027
01/01/2019 01:00,01/01/2019 01:00,0,0,0,10.971
01/01/2019 02:00,01/01/2019 02:00,0,0,0,10.914
01/01/2019 03:00,01/01/2019 03:00,0,0,0,10.922
01/01/2019 04:00,01/01/2019 04:00,0,0,0,10.96
01/01/2019 05:00,01/01/2019 05:00,0,0,0,10.964
01/01/2019 06:00,01/01/2019 06:00,0,0,0,10.958
01/01/2019 07:00,01/01/2019 07:00,0,0,0,10.92
01/01/2019 08:00,01/01/2019 08:00,0,0,0.003,10.917
01/01/2019 09:00,01/01/2019 09:00,0.017,0.001,0.029,10.851
01/01/2019 10:00,01/01/2019 10:00,0.046,0.002,0.062,10.709
01/01/2019 11:00,01/01/2019 11:00,0.072,0.004,0.089,10.573
01/01/2019 12:00,01/01/2019 12:00,0.082,0.005,0.099,10.433
01/01/2019 13:00,01/01/2019 13:00,0.078,0.005,0.094,10.302
01/01/2019 14:00,01/01/2019 14:00,0.047,0.003,0.063,10.174
01/01/2019 15:00,01/01/2019 15:00,0.016,0.001,0.029,10.103
01/01/2019 16:00,01/01/2019 16:00,0,0,0.002,10.058
01/01/2019 17:00,01/01/2019 17:00,0,0,0,10.002
01/01/2019 18:00,01/01/2019 18:00,0,0,0,9.989
01/01/2019 19:00,01/01/2019 19:00,0,0,0,10.052
01/01/2019 20:00,01/01/2019 20:00,0,0,0,10.172
01/01/2019 21:00,01/01/2019 21:00,0,0,0,10.212
01/01/2019 22:00,01/01/2019 22:00,0,0,0,10.174
01/01/2019 23:00,01/01/2019 23:00,0,0,0,10.162
02/01/2019 00:00,02/01/2019 00:00,0,0,0,10.169
02/01/2019 01:00,02/01/2019 01:00,0,0,0,10.183
02/01/2019 02:00,02/01/2019 02:00,0,0,0,10.21
02/01/2019 03:00,02/01/2019 03:00,0,0,0,10.296
02/01/2019 04:00,02/01/2019 04:00,0,0,0,10.422
02/01/2019 05:00,02/01/2019 05:00,0,0,0,10.55
02/01/2019 06:00,02/01/2019 06:00,0,0,0,10.666
02/01/2019 07:00,02/01/2019 07:00,0,0,0,10.712
02/01/2019 08:00,02/01/2019 08:00,0,0,0.003,10.701
02/01/2019 09:00,02/01/2019 09:00,0.014,0.001,0.027,10.648
02/01/2019 10:00,02/01/2019 10:00,0.056,0.004,0.072,10.535
02/01/2019 11:00,02/01/2019 11:00,0.089,0.008,0.103,10.509
02/01/2019 12:00,02/01/2019 12:00,0.109,0.012,0.12,10.458
02/01/2019 13:00,02/01/2019 13:00,0.102,0.012,0.113,10.374
02/01/2019 14:00,02/01/2019 14:00,0.076,0.01,0.088,10.278
02/01/2019 15:00,02/01/2019 15:00,0.032,0.004,0.044,10.259
02/01/2019 16:00,02/01/2019 16:00,0,0,0.003,10.208
02/01/2019 17:00,02/01/2019 17:00,0,0,0,10.089
02/01/2019 18:00,02/01/2019 18:00,0,0,0,9.997
02/01/2019 19:00,02/01/2019 19:00,0,0,0,9.902
02/01/2019 20:00,02/01/2019 20:00,0,0,0,9.802
02/01/2019 21:00,02/01/2019 21:00,0,0,0,9.709
02/01/2019 22:00,02/01/2019 22:00,0,0,0,9.64
02/01/2019 23:00,02/01/2019 23:00,0,0,0,9.572
03/01/2019 00:00,03/01/2019 00:00,0,0,0,9.505
03/01/2019 01:00,03/01/2019 01:00,0,0,0,9.458
03/01/2019 02:00,03/01/2019 02:00,0,0,0,9.42
03/01/2019 03:00,03/01/2019 03:00,0,0,0,9.356
03/01/2019 04:00,03/01/2019 04:00,0,0,0,9.271
03/01/2019 05:00,03/01/2019 05:00,0,0,0,9.216
