time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
01/01/2019 00:00,01/01/2019 00:00,0,0,0,11.027
01/01/2019 01:00,01/01/2019 01:00,0,0,0,10.971
01/01/2019 02:00,01/01/2019 02:00,0,0,0,10.914
01/01/2019 03:00,01/01/2019 03:00,0,0,0,10.922
01/01/2019 04:00,01/01/2019 04:00,0,0,0,10.96
01/01/2019 05:00,01/01/2019 05:00,0,0,0,10.964
01/01/2019 06:00,01/01/2019 06:00,0,0,0,10.958
01/01/2019 07:00,01/01/2019 07:00,0,0,0,10.92
01/01/2019 08:00,01/01/2019 08:00,0,0,0.002,10.917
01/01/2019 09:00,01/01/2019 09:00,0.015,0.002,0.026,10.851
01/01/2019 10:00,01/01/2019 10:00,0.044,0.006,0.056,10.709
01/01/2019 11:00,01/01/2019 11:00,0.071,0.011,0.08,10.573
01/01/2019 12:00,01/01/2019 12:00,0.082,0.015,0.089,10.433
01/01/2019 13:00,01/01/2019 13:00,0.079,0.016,0.085,10.302
01/01/2019 14:00,01/01/2019 14:00,0.048,0.01,0.057,10.174
01/01/2019 15:00,01/01/2019 15:00,0.018,0.005,0.026,10.103
01/01/2019 16:00,01/01/2019 16:00,0,0,0.002,10.058
01/01/2019 17:00,01/01/2019 17:00,0,0,0,10.002
01/01/2019 18:00,01/01/2019 18:00,0,0,0,9.989
01/01/2019 19:00,01/01/2019 19:00,0,0,0,10.052
01/01/2019 20:00,01/01/2019 20:00,0,0,0,10.172
01/01/2019 21:00,01/01/2019 21:00,0,0,0,10.212
01/01/2019 22:00,01/01/2019 22:00,0,0,0,10.174
01/01/2019 23:00,01/01/2019 23:00,0,0,0,10.162
02/01/2019 00:00,02/01/2019 00:00,0,0,0,10.169
02/01/2019 01:00,02/01/2019 01:00,0,0,0,10.183
02/01/2019 02:00,02/01/2019 02:00,0,0,0,10.21
02/01/2019 03:00,02/01/2019 03:00,0,0,0,10.296
02/01/2019 04:00,02/01/2019 04:00,0,0,0,10.422
02/01/2019 05:00,02/01/2019 05:00,0,0,0,10.55
02/01/2019 06:00,02/01/2019 06:00,0,0,0,10.666
02/01/2019 07:00,02/01/2019 07:00,0,0,0,10.712
02/01/2019 08:00,02/01/2019 08:00,0,0,0.003,10.701
02/01/2019 09:00,02/01/2019 09:00,0.013,0.002,0.024,10.648
02/01/2019 10:00,02/01/2019 10:00,0.055,0.01,0.065,10.535
02/01/2019 11:00,02/01/2019 11:00,0.092,0.021,0.093,10.509
02/01/2019 12:00,02/01/2019 12:00,0.118,0.034,0.109,10.458
02/01/2019 13:00,02/01/2019 13:00,0.116,0.038,0.102,10.374
02/01/2019 14:00,02/01/2019 14:00,0.094,0.037,0.079,10.278
02/01/2019 15:00,02/01/2019 15:00,0.044,0.023,0.04,10.259
02/01/2019 16:00,02/01/2019 16:00,0,0.002,0.003,10.208
02/01/2019 17:00,02/01/2019 17:00,0,0,0,10.089
02/01/2019 18:00,02/01/2019 18:00,0,0,0,9.997
02/01/2019 19:00,02/01/2019 19:00,0,0,0,9.902
02/01/2019 20:00,02/01/2019 20:00,0,0,0,9.802
02/01/2019 21:00,02/01/2019 21:00,0,0,0,9.709
02/01/2019 22:00,02/01/2019 22:00,0,0,0,9.64
02/01/2019 23:00,02/01/2019 23:00,0,0,0,9.572
03/01/2019 00:00,03/01/2019 00:00,0,0,0,9.505
03/01/2019 01:00,03/01/2019 01:00,0,0,0,9.458
03/01/2019 02:00,03/01/2019 02:00,0,0,0,9.42
03/01/2019 03:00,03/01/2019 03:00,0,0,0,9.356
03/01/2019 04:00,03/01/2019 04:00,0,0,0,9.271
03/01/2019 05:00,03/01/2019 05:00,0,0,0,9.216
