time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
01/01/2019 00:00,01/01/2019 00:00,0,0,0,5.883
01/01/2019 01:00,01/01/2019 01:00,0,0,0,6.018
01/01/2019 02:00,01/01/2019 02:00,0,0,0,6.002
01/01/2019 03:00,01/01/2019 03:00,0,0,0,6.241
01/01/2019 04:00,01/01/2019 04:00,0,0,0,6.489
01/01/2019 05:00,01/01/2019 05:00,0,0,0,6.632
01/01/2019 06:00,01/01/2019 06:00,0,0,0,6.781
01/01/2019 07:00,01/01/2019 07:00,0,0,0,6.869
01/01/2019 08:00,01/01/2019 08:00,0,0,0.005,6.86
01/01/2019 09:00,01/01/2019 09:00,0.031,0.004,0.042,7.268
01/01/2019 10:00,01/01/2019 10:00,0.085,0.022,0.084,7.906
01/01/2019 11:00,01/01/2019 11:00,0.14,0.065,0.099,8.509
01/01/2019 12:00,01/01/2019 12:00,0.161,0.096,0.09,8.699
01/01/2019 13:00,01/01/2019 13:00,0.135,0.079,0.079,8.401
01/01/2019 14:00,01/01/2019 14:00,0.075,0.035,0.06,7.525
01/01/2019 15:00,01/01/2019 15:00,0.012,0.005,0.018,5.361
01/01/2019 16:00,01/01/2019 16:00,0,0,0,3.502
01/01/2019 17:00,01/01/2019 17:00,0,0,0,2.717
01/01/2019 18:00,01/01/2019 18:00,0,0,0,2.084
01/01/2019 19:00,01/01/2019 19:00,0,0,0,1.511
01/01/2019 20:00,01/01/2019 20:00,0,0,0,1.262
01/01/2019 21:00,01/01/2019 21:00,0,0,0,1.12
01/01/2019 22:00,01/01/2019 22:00,0,0,0,0.969
01/01/2019 23:00,01/01/2019 23:00,0,0,0,0.624
02/01/2019 00:00,02/01/2019 00:00,0,0,0,-0.262
02/01/2019 01:00,02/01/2019 01:00,0,0,0,-0.817
02/01/2019 02:00,02/01/2019 02:00,0,0,0,-1.015
02/01/2019 03:00,02/01/2019 03:00,0,0,0,-1.155
02/01/2019 04:00,02/01/2019 04:00,0,0,0,-1.364
02/01/2019 05:00,02/01/2019 05:00,0,0,0,-1.528
02/01/2019 06:00,02/01/2019 06:00,0,0,0,-1.753
02/01/2019 07:00,02/01/2019 07:00,0,0,0,-2.027
02/01/2019 08:00,02/01/2019 08:00,0.004,0.002,0.01,-2.037
02/01/2019 09:00,02/01/2019 09:00,0.069,0.036,0.048,-0.282
02/01/2019 10:00,02/01/2019 10:00,0.142,0.097,0.063,1.188
02/01/2019 11:00,02/01/2019 11:00,0.178,0.128,0.071,2.322
02/01/2019 12:00,02/01/2019 12:00,0.176,0.121,0.076,3.753
02/01/2019 13:00,02/01/2019 13:00,0.135,0.079,0.077,4.276
02/01/2019 14:00,02/01/2019 14:00,0.069,0.027,0.059,3.726
02/01/2019 15:00,02/01/2019 15:00,0.009,0.003,0.017,2.186
02/01/2019 16:00,02/01/2019 16:00,0,0,0,1.406
02/01/2019 17:00,02/01/2019 17:00,0,0,0,1.385
02/01/2019 18:00,02/01/2019 18:00,0,0,0,1.421
02/01/2019 19:00,02/01/2019 19:00,0,0,0,1.466
02/01/2019 20:00,02/01/2019 20:00,0,0,0,1.414
02/01/2019 21:00,02/01/2019 21:00,0,0,0,1.26
02/01/2019 22:00,02/01/2019 22:00,0,0,0,0.931
02/01/2019 23:00,02/01/2019 23:00,0,0,0,0.547
03/01/2019 00:00,03/01/2019 00:00,0,0,0,0.256
03/01/2019 01:00,03/01/2019 01:00,0,0,0,0.088
03/01/2019 02:00,03/01/2019 02:00,0,0,0,-0.047
03/01/2019 03:00,03/01/2019 03:00,0,0,0,-0.16
03/01/2019 04:00,03/01/2019 04:00,0,0,0,-0.245
03/01/2019 05:00,03/01/2019 05:00,0,0,0,-0.271
03/01/2019 06:00,03/01/2019 06:00,0,0,0,-0.248
03/01/2019 07:00,03/01/2019 07:00,0,0,0,-0.038
03/01/2019 08:00,03/01/2019 08:00,0.003,0.001,0.01,0.296
03/01/2019 09:00,03/01/2019 09:00,0.057,0.019,0.054,1.103
03/01/2019 10:00,03/01/2019 10:00,0.122,0.059,0.081,2.065
03/01/2019 11:00,03/01/2019 11:00,0.16,0.088,0.092,3.052
03/01/2019 12:00,03/01/2019 12:00,0.151,0.072,0.099,3.429
03/01/2019 13:00,03/01/2019 13:00,0.119,0.049,0.09,3.378
03/01/2019 14:00,03/01/2019 14:00,0.067,0.022,0.062,2.978
03/01/2019 15:00,03/01/2019 15:00,0.012,0.004,0.019,1.948
03/01/2019 16:00,03/01/2019 16:00,0,0,0,1.102
03/01/2019 17:00,03/01/2019 17:00,0,0,0,0.399
03/01/2019 18:00,03/01/2019 18:00,0,0,0,-0.102
03/01/2019 19:00,03/01/2019 19:00,0,0,0,-0.357
03/01/2019 20:00,03/01/2019 20:00,0,0,0,-0.535
03/01/2019 21:00,03/01/2019 21:00,0,0,0,-0.707
03/01/2019 22:00,03/01/2019 22:00,0,0,0,-0.973
03/01/2019 23:00,03/01/2019 23:00,0,0,0,-1.213
04/01/2019 00:00,04/01/2019 00:00,0,0,0,-1.666
04/01/2019 01:00,04/01/2019 01:00,0,0,0,-1.955
04/01/2019 02:00,04/01/2019 02:00,0,0,0,-1.944
04/01/2019 03:00,04/01/2019 03:00,0,0,0,-2.032
04/01/2019 04:00,04/01/2019 04:00,0,0,0,-2.24
04/01/2019 05:00,04/01/2019 05:00,0,0,0,-2.654
04/01/2019 06:00,04/01/2019 06:00,0,0,0,-2.873
04/01/2019 07:00,04/01/2019 07:00,0,0,0,-3.194
04/01/2019 08:00,04/01/2019 08:00,0.005,0.002,0.011,-3.112
04/01/2019 09:00,04/01/2019 09:00,0.059,0.02,0.055,-1.555
04/01/2019 10:00,04/01/2019 10:00,0.108,0.039,0.086,-0.66
04/01/2019 11:00,04/01/2019 11:00,0.142,0.057,0.103,0.395
04/01/2019 12:00,04/01/2019 12:00,0.142,0.056,0.104,1.335
04/01/2019 13:00,04/01/2019 13:00,0.124,0.053,0.089,1.602
04/01/2019 14:00,04/01/2019 14:00,0.084,0.039,0.061,1.013
04/01/2019 15:00,04/01/2019 15:00,0.014,0.005,0.02,-0.877
04/01/2019 16:00,04/01/2019 16:00,0,0,0,-1.895
04/01/2019 17:00,04/01/2019 17:00,0,0,0,-1.976
04/01/2019 18:00,04/01/2019 18:00,0,0,0,-1.942
04/01/2019 19:00,04/01/2019 19:00,0,0,0,-1.617
04/01/2019 20:00,04/01/2019 20:00,0,0,0,-1.193
04/01/2019 21:00,04/01/2019 21:00,0,0,0,-0.928
04/01/2019 22:00,04/01/2019 22:00,0,0,0,-0.827
04/01/2019 23:00,04/01/2019 23:00,0,0,0,-0.759
05/01/2019 00:00,05/01/2019 00:00,0,0,0,-0.632
05/01/2019 01:00,05/01/2019 01:00,0,0,0,-0.603
05/01/2019 02:00,05/01/2019 02:00,0,0,0,-0.703
05/01/2019 03:00,05/01/2019 03:00,0,0,0,-0.787
05/01/2019 04:00,05/01/2019 04:00,0,0,0,-0.707
05/01/2019 05:00,05/01/2019 05:00,0,0,0,-0.554
05/01/2019 06:00,05/01/2019 06:00,0,0,0,-0.554
05/01/2019 07:00,05/01/2019 07:00,0,0,0,-0.529
05/01/2019 08:00,05/01/2019 08:00,0.001,0,0.007,-0.389
05/01/2019 09:00,05/01/2019 09:00,0.03,0.002,0.041,0.323
05/01/2019 10:00,05/01/2019 10:00,0.071,0.008,0.079,1.285
05/01/2019 11:00,05/01/2019 11:00,0.098,0.014,0.102,2.175
05/01/2019 12:00,05/01/2019 12:00,0.099,0.014,0.103,2.718
05/01/2019 13:00,05/01/2019 13:00,0.078,0.01,0.086,2.897
05/01/2019 14:00,05/01/2019 14:00,0.042,0.004,0.053,2.465
05/01/2019 15:00,05/01/2019 15:00,0.005,0.001,0.013,1.44
05/01/2019 16:00,05/01/2019 16:00,0,0,0,1.058
05/01/2019 17:00,05/01/2019 17:00,0,0,0,1.211
05/01/2019 18:00,05/01/2019 18:00,0,0,0,1.252
05/01/2019 19:00,05/01/2019 19:00,0,0,0,1.369
05/01/2019 20:00,05/01/2019 20:00,0,0,0,1.508
05/01/2019 21:00,05/01/2019 21:00,0,0,0,1.741
05/01/2019 22:00,05/01/2019 22:00,0,0,0,1.895
05/01/2019 23:00,05/01/2019 23:00,0,0,0,2.032
06/01/2019 00:00,06/01/2019 00:00,0,0,0,2.068
