time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
01/01/2019 00:00,01/01/2019 00:00,0,0,0,4.628
01/01/2019 01:00,01/01/2019 01:00,0,0,0,4.472
01/01/2019 02:00,01/01/2019 02:00,0,0,0,4.343
01/01/2019 03:00,01/01/2019 03:00,0,0,0,4.295
01/01/2019 04:00,01/01/2019 04:00,0,0,0,4.209
01/01/2019 05:00,01/01/2019 05:00,0,0,0,4.058
01/01/2019 06:00,01/01/2019 06:00,0,0,0,3.911
01/01/2019 07:00,01/01/2019 07:00,0,0,0,3.795
01/01/2019 08:00,01/01/2019 08:00,0,0,0,3.546
01/01/2019 09:00,01/01/2019 09:00,0.003,0.001,0.011,3.294
01/01/2019 10:00,01/01/2019 10:00,0.026,0.003,0.036,3.308
01/01/2019 11:00,01/01/2019 11:00,0.048,0.007,0.057,3.325
01/01/2019 12:00,01/01/2019 12:00,0.066,0.015,0.068,3.253
01/01/2019 13:00,01/01/2019 13:00,0.062,0.019,0.059,2.944
01/01/2019 14:00,01/01/2019 14:00,0.024,0.006,0.032,2.372
01/01/2019 15:00,01/01/2019 15:00,0,0,0.002,1.763
01/01/2019 16:00,01/01/2019 16:00,0,0,0,1.504
01/01/2019 17:00,01/01/2019 17:00,0,0,0,1.3
01/01/2019 18:00,01/01/2019 18:00,0,0,0,1.104
01/01/2019 19:00,01/01/2019 19:00,0,0,0,0.877
01/01/2019 20:00,01/01/2019 20:00,0,0,0,0.664
01/01/2019 21:00,01/01/2019 21:00,0,0,0,0.365
01/01/2019 22:00,01/01/2019 22:00,0,0,0,0.325
01/01/2019 23:00,01/01/2019 23:00,0,0,0,0.361
02/01/2019 00:00,02/01/2019 00:00,0,0,0,0.464
02/01/2019 01:00,02/01/2019 01:00,0,0,0,0.564
02/01/2019 02:00,02/01/2019 02:00,0,0,0,0.596
02/01/2019 03:00,02/01/2019 03:00,0,0,0,0.442
02/01/2019 04:00,02/01/2019 04:00,0,0,0,0.124
02/01/2019 05:00,02/01/2019 05:00,0,0,0,-0.267
02/01/2019 06:00,02/01/2019 06:00,0,0,0,-0.557
02/01/2019 07:00,02/01/2019 07:00,0,0,0,-0.726
02/01/2019 08:00,02/01/2019 08:00,0,0,0,-0.84
02/01/2019 09:00,02/01/2019 09:00,0.009,0.004,0.015,-0.734
02/01/2019 10:00,02/01/2019 10:00,0.054,0.025,0.045,0.106
02/01/2019 11:00,02/01/2019 11:00,0.086,0.044,0.059,0.685
02/01/2019 12:00,02/01/2019 12:00,0.09,0.043,0.065,0.841
02/01/2019 13:00,02/01/2019 13:00,0.06,0.019,0.057,0.757
02/01/2019 14:00,02/01/2019 14:00,0.02,0.004,0.028,0.344
02/01/2019 15:00,02/01/2019 15:00,0,0,0.002,-0.086
02/01/2019 16:00,02/01/2019 16:00,0,0,0,-0.057
02/01/2019 17:00,02/01/2019 17:00,0,0,0,0.078
02/01/2019 18:00,02/01/2019 18:00,0,0,0,0.218
02/01/2019 19:00,02/01/2019 19:00,0,0,0,0.398
02/01/2019 20:00,02/01/2019 20:00,0,0,0,0.493
02/01/2019 21:00,02/01/2019 21:00,0,0,0,0.572
02/01/2019 22:00,02/01/2019 22:00,0,0,0,0.586
02/01/2019 23:00,02/01/2019 23:00,0,0,0,0.587
03/01/2019 00:00,03/01/2019 00:00,0,0,0,0.531
03/01/2019 01:00,03/01/2019 01:00,0,0,0,0.397
03/01/2019 02:00,03/01/2019 02:00,0,0,0,0.205
03/01/2019 03:00,03/01/2019 03:00,0,0,0,0.066
03/01/2019 04:00,03/01/2019 04:00,0,0,0,0.092
03/01/2019 05:00,03/01/2019 05:00,0,0,0,0.169
03/01/2019 06:00,03/01/2019 06:00,0,0,0,0.32
03/01/2019 07:00,03/01/2019 07:00,0,0,0,0.559
03/01/2019 08:00,03/01/2019 08:00,0,0,0,0.823
