# Renewables.ninja Solar PV (Point API) - 52.463, -1.994 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/London"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""52.46348915344535"""," ""lon"": ""-1.9943627498566803"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""125"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
01/01/2019 00:00,01/01/2019 00:00,0,0,0,6.051,,,,,,,,,,,,,
01/01/2019 01:00,01/01/2019 01:00,0,0,0,6.129,,,,,,,,,,,,,
01/01/2019 02:00,01/01/2019 02:00,0,0,0,6.02,,,,,,,,,,,,,
01/01/2019 03:00,01/01/2019 03:00,0,0,0,6.092,,,,,,,,,,,,,
01/01/2019 04:00,01/01/2019 04:00,0,0,0,6.573,,,,,,,,,,,,,
01/01/2019 05:00,01/01/2019 05:00,0,0,0,6.764,,,,,,,,,,,,,
01/01/2019 06:00,01/01/2019 06:00,0,0,0,6.955,,,,,,,,,,,,,
01/01/2019 07:00,01/01/2019 07:00,0,0,0,7.067,,,,,,,,,,,,,
01/01/2019 08:00,01/01/2019 08:00,0.001,0.002,0.004,7.045,,,,,,,,,,,,,
01/01/2019 09:00,01/01/2019 09:00,0.047,0.024,0.039,7.43,,,,,,,,,,,,,
01/01/2019 10:00,01/01/2019 10:00,0.155,0.099,0.08,8.071,,,,,,,,,,,,,
